Metric,Company,Year,Values,Source,Existing,Checked
Top 100 Fashion Project Research Group+Science Based Targets,Accenture,2019,Yes,,,
Science Based Targets Initiative (SBTi)+Science Based Target Classification,Accenture,2019,1.5°C,https://wikirate.org/~6321626,,
Laureen van Breen+Scope 1 GHG over number of employees,Accenture,2019,0.038461382113821,,,
Aileen Robinson+Yearly Change Scope 1 and 2 Emissions,Accenture,2019,-3.08457587600295,,,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Accenture,2018,22183,https://wikirate.org/~5670441,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Accenture,2018,218855,https://wikirate.org/~5670441,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 3), GRI 305-3 (formerly G4-EN17-a)",Accenture,2018,948756,https://wikirate.org/~5670441,,
Commons+Greenhouse Gas Emissions Scope 1,Accenture,2018,22183,,,
Commons+Greenhouse Gas Emissions Scope 1 and 2 combined,Accenture,2018,241038,,,
"Commons+Combined Scope 1, 2 and 3 Greenhouse Gas Emissions (GHG)",Accenture,2018,1189794,,,
WikiRate Calculated Metric Design Group+Greenhouse Gas emissions per employee,Accenture,2018,0.525137254901961,,,
Commons+Greenhouse Gas Emissions Scope 2,Accenture,2018,218855,,,
WikiRate Calculated Metric Design Group+Progress Scope 1 Emissions,Accenture,2018,Unknown,,,
Science Based Targets Initiative (SBTi)+Science Based Targets Status,Accenture,2018,Targets Set,https://wikirate.org/~6321626,,
WikiRate Calculated Metric Design Group+Greenhouse Gas emissions per dollar profit,Accenture,2018,Unknown,,,
Top 100 Fashion Project Research Group+Science Based Targets,Accenture,2018,Yes,,,
Science Based Targets Initiative (SBTi)+Science Based Target Classification,Accenture,2018,1.5°C,https://wikirate.org/~6321626,,
Laureen van Breen+Scope 1 GHG over number of employees,Accenture,2018,0.048328976034858,,,
Aileen Robinson+Yearly Change Scope 1 and 2 Emissions,Accenture,2018,Unknown,,,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Accenture,2017,24095,https://www.accenture.com/us-en/about/company/reporting-approach-esg-disclosures#accordion-652e2ac5ad-item-05afc72dd8,fixed,
